"Ավելի քան 1000 լուսանկար եւ 90 ժամ տեսանյութ արցախյան պատերազմի մասին - Հետք - Լուրեր, հոդվածներ, հետաքննություններ",http://hetq.am/arm/news/4956/aveli-qan-1000-lusankar-ev-90-zham-tesanyut-arcakhyan-paterazmi-masin.html,"ՈւժեղԼուսանկարներ,պատմական,պատմություն",,,,2017-02-23 14:32:01
Libmindiaspora,http://libmindiaspora.am,ԷլԳրքերիԳրադարան,,,,2017-02-20 18:17:43
Социологическая теория познания: школы и направления,http://postnauka.ru/faq/51609,"էպիստեմոլոգիա,հոգեբանություն,սոցիոլոգիա","""Социологическая теория познания: школы и направления""",,,2017-02-18 20:57:54
How Stack Overflow Redesigned the Top Navigation – Stack Overflow Blog – A destination for all things related to development at Stack Overflow,http://stackoverflow.blog/2017/02/Why-Stack-Overflow-Redesigned-the-Top-Navigation/,no_tag,,,,2017-02-15 19:56:37
How Do Students Use Stack Overflow? – Stack Overflow Blog – A destination for all things related to development at Stack Overflow,http://stackoverflow.blog/2017/02/How-Do-Students-Use-Stack-Oveflow/,"մեթոդոլոգիական,FORինչպեսդառնալծրագրավորող",,,,2017-02-15 19:56:01
What Programming Languages Are Used Most on Weekends? – Stack Overflow Blog – A destination for all things related to development at Stack Overflow,http://stackoverflow.blog/2017/02/What-Programming-Languages-Weekends/,FORինչպեսդառնալծրագրավորող,,,,2017-02-15 19:54:37
Why language is not everything that Noam Chomsky said it is | Aeon Essays,https://aeon.co/essays/why-language-is-not-everything-that-noam-chomsky-said-it-is,"էպիստեմոլոգիա,լեզուներ,ուղեղ,հոգեբանություն",,,,2017-02-15 18:51:11
GitHub - CodeBrauer/100daysofcode: A repo with 100 daily small projects (started on 2017-01-01),https://github.com/CodeBrauer/100daysofcode,FORինչպեսդառնալծրագրավորող,,,,2017-02-15 18:43:47
"How the World's Oldest Computer Worked: Reconstructing the 2,200-Year-Old Antikythera Mechanism | Open Culture",http://www.openculture.com/2017/01/how-the-worlds-oldest-computer-worked-reconstructing-the-2200-year-old-antikythera-mechanism.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+OpenCulture+%28Open+Culture%29,"պատմական,պատմություն,ՔոմփյութրՍայնս,FORAregnazan",,,,2017-02-15 18:39:20
React Interview Questions,https://tylermcginnis.com/react-interview-questions/,"reactjs,ՏՏwebTuts,javascript,js",,,,2017-02-15 18:38:07
Syg.ma — Гиперреальность архитектуры. Жан Нувель и Жан Бодрийяр,http://syg.ma/@marat-nevlyutov/gipierriealnost-arkhitiektury-zhan-nuviel-i-zhan-bodriiiar,ճարտարապետություն,,,,2017-02-15 18:28:07
Master the JavaScript Interview: What is Functional Programming?,https://medium.com/javascript-scene/master-the-javascript-interview-what-is-functional-programming-7f218c68b3a0,"ՏՏwebTuts,js,javascript,""functional programming""",,,,2017-02-15 18:21:51
www.russ.ru Дуглас Хофштадтер. Массовая культура и угроза рациональной науке,http://old.russ.ru/ist_sovr/other_lang/20001122_kun.html,"Հոֆշտադտեր,Մանկավարժական,էպիստեմոլոգիա",,,,2017-02-15 07:53:33
12 общедоступных интернет-архивов,http://izbrannoe.com/news/otdykh/12-obshchedostupnykh-internet-arkhivov/,"սկզբնաղբյուրներ,արվեստ,մշակույթ,արխիվներ",,,,2017-02-14 20:31:40
9 Photography Tips How To Make Other People Think You Have A Girlfriend On Valentine’s Day | Bored Panda,http://www.boredpanda.com/single-people-couple-photo-tips-rain-yokohama/,"""մտքի հիգիենա""",,,,2017-02-11 23:32:02
Мозг и навигация,https://postnauka.ru/video/70639,"ուղեղ,gps,նեյրոհոգեբանություն,NEUROSCIENCE","""Мозг и навигация""",,"Highlight:
Sticky notes:ԹՈԻՅՆ ՀՈԴՎԱԾ

Highlight:Эти нейроны возбуждаются всякий раз, когда животное находится в определенной части среды, а другие нейроны возбуждаются, когда оно находится где-то еще. Вместе они образуют большую популяцию нейронов. Если вы посмотрите на то, как изменяется ее активность по мере перемещения животного в среде, вы сможете определить местонахождение животного, то есть какие нейроны места возбуждены и передают маленькие электрические импульсы другим нейронам в мозге — это указывает на то, где находится животное в среде. Эти нейроны сообщают остальной части мозга, где находится животное, все то время, пока оно перемещается.
Highlight:обнаружили нейроны направления головы
Highlight:обнаружил третий тип клеток навигации — нейроны решетки
Highlight:конкретный нейрон решетки возбуждается, когда оно оказывается в одном из ряда мест, которые распределены в окружающей среде животного в виде правильной треугольной решетки
Highlight:Это очень удивительная вещь — сложность поведения, которое животное демонстрирует, блуждая по окружающей среде. Но отдельно взятый нейрон места возбуждается в тот момент, когда животное попадает в определенные места среды, организованные в треугольные последовательности. В то время как отличный нейрон решетки возбуждается в тех же самых последовательных местонахождениях, но с временным сдвигом от другой клетки. Так что в целом в популяции нейронов решетки активность будет переходить от одной клетки к другой по ходу перемещения животного.
Highlight:которые обозначают наше местоположение относительно нашего окружения, — нейроны границы
",2017-02-10 16:19:12
Нейронные основы социальных взаимодействий — Постнаука,https://postnauka.ru/video/70638,"հոգեբանություն,ուղեղ,գենետիկա,նեյրոհոգեբանություն",,,"Highlight:
Sticky notes:Լավ հոդված է, սկսվում է հայելային նեյրոններից, ապա գնում է ուրիշի մտքերի ""մասին մտածող"" նեյրոնների խմբերին, ապա դրանից հետո ասում է ,որ կենսաբանանկան շարժման համար պատասխանող և ուղղակի շարժման համար պատասխանող տարածքները տարբեր են
Highlight:Таким образом, вы можете положить человека в сканер, дать ему решить похожие задачки и увидеть, что определенные области мозга активируются в тот момент, когда вы выполняете такое задание, заставляющее думать о мыслях другого человека, или во время размышления о своих собственных мыслях. Но самое интересное, что это не те области, в которых обычно находятся зеркальные нейроны, а значит, это совсем другая система.
Highlight:Таким образом, вам недостаточно просто видеть действие — необходимо иметь ожидание относительно причины этого действия, чтобы иметь способность предсказать его последующие действия. И если человек делает что-то отличное от того, что вы ожидали, то стоит изменить ваше мнение относительно причин этого действия. Сейчас мы склонны думать, что именно таким образом мозг решает такие проблемы: височно-теменной узел принимает активное участие в мыслительном процессе и, возможно, является той самой областью, определяющей реальные мотивы человека, на которого вы смотрите. Именно эта область начинает действовать особенно активно, когда человек совершает не то действие, которого вы от него ожидаете, — мы называем это ошибкой прогнозирования, которая критична для понимания того, почему человек делает то, что он делает.
Highlight:Еще один крайне интересный аспект социального мышления и его нервной подоплеки связан с биологическим движением. Биологическое движение — это способность распознавать по очень простым чертам, идет на нас человек или животное, весел человек или грустен.
Highlight:Существует хорошо известная область мозга V5, и она заинтересована в движении в целом: все, что двигается, заставит эту область активироваться. Однако есть еще одна область в височной коре, немного выше V5, которая напрямую связана с биологическим движением
",2017-02-10 16:07:05
